Crop,Year,Production,State,Cost_A2_FL,Cost_C2,Cost_Prod_C2,Yield,Variety,Season_Duration,Recommended_Zone,Index
Wheat,2006,131.6,Uttar Pradesh,18979.38,31902.74,769.84,34.99,WHD 943,,"Punjab, Haryana, Delhi, Rajasthan (except Kota and Udaipur divisions), West Uttar Pradesh (except Jhansi Divisions) Jammu and Kathua districts of Jammu and Kashmir, Paonta valley and Una district of Himachal Pradesh, and tarai region of Uttarakhand.",112.0
Wheat,2006,131.6,Uttar Pradesh,18979.38,31902.74,769.84,34.99,Netravati  (NIAW 1415),,"Maharshtra, and Karnataka under rainfed condition and restricted irrigated condition.",112.0
Wheat,2006,131.6,Rajasthan,19119.08,29876.36,683.58,37.19,MPO(JW)  1215 (MPO 1215),120,"Madhya Pradesh, Chhattisgarh, Gujarat and Rajasthan (Kota and Udaipur Division only) under timely sown irrigated condition.",112.0
Wheat,2006,131.6,Rajasthan,19119.08,29876.36,683.58,37.19,MACS 6222,108,"Maharashtra, Karnataka, Andhra Pradesh and Tamil Nadu under timely sown irrigated condition.",112.0
Wheat,2006,131.6,Rajasthan,19119.08,29876.36,683.58,37.19,PDW 314,169,"Punjab, Haryana, Western Uttar Pradesh, Delhi, Rajasthan (Excluding Kota & Udaipur Divisions), Tarai Regions of Uttarakhand, Paonta Valley & Una District of Himachal Pradesh under timely sown irrigated conditions.",112.0
Wheat,2006,131.6,Rajasthan,19119.08,29876.36,683.58,37.19,DBW39,123,"Eastern Uttar Pradesh, Bihar, Jharkhand, West Bengal, Assam and Orissa under timely sown irrigated condition.",112.0
Wheat,2006,131.6,Rajasthan,19119.08,29876.36,683.58,37.19,VL Gehun 907 (VL 907),167 irrigated   & 180 rainfed,"Himachal Pradesh,  Jammu & Kashmir, Uttarakhand and Sikkim under timely sown irrigated conditions.",112.0
Wheat,2006,131.6,Rajasthan,19119.08,29876.36,683.58,37.19,Pusa Suketi  HS 507,,"Himachal Pradesh, Uttarakhand, Jammu and Kashmir and the North Eastern state under timely sown rainfed condition in lower and mid hills.",112.0
Wheat,2006,131.6,Rajasthan,19119.08,29876.36,683.58,37.19,Pusa Prachi (HI 1563),,"Eastern Uttar Pradesh, Bihar, Jharkhand, West Bengal (except Hills), Orissa, Assam and the place of North Eastern states in late sown condition.",112.0
Wheat,2006,131.6,Rajasthan,19119.08,29876.36,683.58,37.19,WHD 943,,"Punjab, Haryana, Delhi, Rajasthan (except Kota and Udaipur divisions), West Uttar Pradesh (except Jhansi Divisions) Jammu and Kathua districts of Jammu and Kashmir, Paonta valley and Una district of Himachal Pradesh, and tarai region of Uttarakhand.",112.0
Wheat,2006,131.6,Rajasthan,19119.08,29876.36,683.58,37.19,Netravati  (NIAW 1415),,"Maharshtra, and Karnataka under rainfed condition and restricted irrigated condition.",112.0
Jowar,2006,124.3,,0.0,0.0,0.0,0.0,,,,0.0
Bajra,2006,136.4,,0.0,0.0,0.0,0.0,,,,0.0
Maize,2006,198.8,Bihar,13513.92,19857.7,404.43,42.95,HSC1,80-82,Himachal Pradesh and Uttarakhand under Kharif season.,0.0
Maize,2006,198.8,Bihar,13513.92,19857.7,404.43,42.95,HQPM-4,95,"Punjab, Haryana, Delhi, West and Central UP, Bihar, Jharkhand, Orissa, Eastern UP, Andhra Pradesh, Karnataka, Tamilnadu, Maharashtra, Rajasthan, Madhya Pradesh, Gujarat and Chhattisgarh under Kharif Season.",0.0
Maize,2006,198.8,Bihar,13513.92,19857.7,404.43,42.95,MCH 36 (Hybrid) (DKC 9099),99,"Karnataka, Tamil Nadu and Maharashtra in Kharif season under irrigated and rainfed conditions.",0.0
Maize,2006,198.8,Bihar,13513.92,19857.7,404.43,42.95,DHM 119 (BH 4062),,"Andhra Pradesh, Maharashtra, Tamil Nadu and Karnataka in Kharif season.",0.0
Maize,2006,198.8,Bihar,13513.92,19857.7,404.43,42.95,PMH 4 (JH 31153),,"Punjab, Haryana, Delhi and western Uttar Pradesh under irrigated condition.",0.0
Maize,2006,198.8,Bihar,13513.92,19857.7,404.43,42.95,PMH 5 (JH 3110),,"Rajasthan, Madhya Pradesh, Gujarat and Chhattisgarh in Kharif season under both irrigated and rainfed condition.",0.0
Maize,2006,198.8,Karnataka,13792.85,20671.54,581.69,31.1,HSC1,80-82,Himachal Pradesh and Uttarakhand under Kharif season.,0.0
Maize,2006,198.8,Karnataka,13792.85,20671.54,581.69,31.1,HQPM-4,95,"Punjab, Haryana, Delhi, West and Central UP, Bihar, Jharkhand, Orissa, Eastern UP, Andhra Pradesh, Karnataka, Tamilnadu, Maharashtra, Rajasthan, Madhya Pradesh, Gujarat and Chhattisgarh under Kharif Season.",0.0
Maize,2006,198.8,Karnataka,13792.85,20671.54,581.69,31.1,MCH 36 (Hybrid) (DKC 9099),99,"Karnataka, Tamil Nadu and Maharashtra in Kharif season under irrigated and rainfed conditions.",0.0
Maize,2006,198.8,Karnataka,13792.85,20671.54,581.69,31.1,DHM 119 (BH 4062),,"Andhra Pradesh, Maharashtra, Tamil Nadu and Karnataka in Kharif season.",0.0
Maize,2006,198.8,Karnataka,13792.85,20671.54,581.69,31.1,PMH 4 (JH 31153),,"Punjab, Haryana, Delhi and western Uttar Pradesh under irrigated condition.",0.0
Maize,2006,198.8,Karnataka,13792.85,20671.54,581.69,31.1,PMH 5 (JH 3110),,"Rajasthan, Madhya Pradesh, Gujarat and Chhattisgarh in Kharif season under both irrigated and rainfed condition.",0.0
Maize,2006,198.8,Rajasthan,14421.46,19810.29,658.77,23.56,HSC1,80-82,Himachal Pradesh and Uttarakhand under Kharif season.,0.0
Maize,2006,198.8,Rajasthan,14421.46,19810.29,658.77,23.56,HQPM-4,95,"Punjab, Haryana, Delhi, West and Central UP, Bihar, Jharkhand, Orissa, Eastern UP, Andhra Pradesh, Karnataka, Tamilnadu, Maharashtra, Rajasthan, Madhya Pradesh, Gujarat and Chhattisgarh under Kharif Season.",0.0
Maize,2006,198.8,Rajasthan,14421.46,19810.29,658.77,23.56,MCH 36 (Hybrid) (DKC 9099),99,"Karnataka, Tamil Nadu and Maharashtra in Kharif season under irrigated and rainfed conditions.",0.0
Maize,2006,198.8,Rajasthan,14421.46,19810.29,658.77,23.56,DHM 119 (BH 4062),,"Andhra Pradesh, Maharashtra, Tamil Nadu and Karnataka in Kharif season.",0.0
Maize,2006,198.8,Rajasthan,14421.46,19810.29,658.77,23.56,PMH 4 (JH 31153),,"Punjab, Haryana, Delhi and western Uttar Pradesh under irrigated condition.",0.0
Maize,2006,198.8,Rajasthan,14421.46,19810.29,658.77,23.56,PMH 5 (JH 3110),,"Rajasthan, Madhya Pradesh, Gujarat and Chhattisgarh in Kharif season under both irrigated and rainfed condition.",0.0
Maize,2006,198.8,Uttar Pradesh,15635.43,21045.11,1387.36,13.7,HSC1,80-82,Himachal Pradesh and Uttarakhand under Kharif season.,0.0
Maize,2006,198.8,Uttar Pradesh,15635.43,21045.11,1387.36,13.7,HQPM-4,95,"Punjab, Haryana, Delhi, West and Central UP, Bihar, Jharkhand, Orissa, Eastern UP, Andhra Pradesh, Karnataka, Tamilnadu, Maharashtra, Rajasthan, Madhya Pradesh, Gujarat and Chhattisgarh under Kharif Season.",0.0
Maize,2006,198.8,Uttar Pradesh,15635.43,21045.11,1387.36,13.7,MCH 36 (Hybrid) (DKC 9099),99,"Karnataka, Tamil Nadu and Maharashtra in Kharif season under irrigated and rainfed conditions.",0.0
Maize,2006,198.8,Uttar Pradesh,15635.43,21045.11,1387.36,13.7,DHM 119 (BH 4062),,"Andhra Pradesh, Maharashtra, Tamil Nadu and Karnataka in Kharif season.",0.0
Maize,2006,198.8,Uttar Pradesh,15635.43,21045.11,1387.36,13.7,PMH 4 (JH 31153),,"Punjab, Haryana, Delhi and western Uttar Pradesh under irrigated condition.",0.0
Maize,2006,198.8,Uttar Pradesh,15635.43,21045.11,1387.36,13.7,PMH 5 (JH 3110),,"Rajasthan, Madhya Pradesh, Gujarat and Chhattisgarh in Kharif season under both irrigated and rainfed condition.",0.0
Maize,2006,198.8,Andhra Pradesh,25687.09,37801.85,840.58,42.68,HSC1,80-82,Himachal Pradesh and Uttarakhand under Kharif season.,0.0
Maize,2006,198.8,Andhra Pradesh,25687.09,37801.85,840.58,42.68,HQPM-4,95,"Punjab, Haryana, Delhi, West and Central UP, Bihar, Jharkhand, Orissa, Eastern UP, Andhra Pradesh, Karnataka, Tamilnadu, Maharashtra, Rajasthan, Madhya Pradesh, Gujarat and Chhattisgarh under Kharif Season.",0.0
Maize,2006,198.8,Andhra Pradesh,25687.09,37801.85,840.58,42.68,MCH 36 (Hybrid) (DKC 9099),99,"Karnataka, Tamil Nadu and Maharashtra in Kharif season under irrigated and rainfed conditions.",0.0
Maize,2006,198.8,Andhra Pradesh,25687.09,37801.85,840.58,42.68,DHM 119 (BH 4062),,"Andhra Pradesh, Maharashtra, Tamil Nadu and Karnataka in Kharif season.",0.0
